row ID,row m/z,row retention time,GT_OE1-23_13-06-2024.CDF Peak area,
1,93.09994031729497,5.875,19582.775,
2,93.09768259838405,6.34,124.38464,
3,93.1,6.975,1151.3197,
4,93.09994369814123,7.155,5443.867,
5,81.04880193702569,7.665,238.50978,
6,121.2,8.4,77.48968,
7,69.1,8.46,213.7447,
8,93.09501020278024,9.9,156.82022,
9,71.07875021706234,10.37,201.55502,
10,93.09999999999998,11.6,44.094646,
11,57.05334311598827,11.735,274.29565,
12,69.1,12.08,2315.934,
13,108.15480375013587,12.68,506.11462,
14,70.1,13.285,644.99,
15,109.15073306319613,13.475,500.97925,
16,81.09253843984175,14.215,655.8953,
17,82.0970804988662,14.215,44.100285,
18,151.14868013624402,14.645,258.36057,
19,69.09728380620767,14.83,367.61,
20,71.0811077710362,15.02,994.65533,
21,59.04197678959996,15.665,179.22968,
22,79.09369083615877,15.69,1063.2538,
23,148.13095723409623,19.74,257.56497,
24,121.19684480936108,21.8,406.7899,
25,69.10000000000001,21.915,418.36447,
26,164.12124417869256,22.64,260.8954,
27,119.19337993098581,23.745,255.02046,
29,162.1635729153912,24.095,40.83481,
28,81.10038709493969,24.1,1934.2815,
30,161.18337822132858,24.285,542.09015,
31,81.1,24.36,371.4049,
32,204.2007854907154,24.94,2254.0012,
33,161.1720632377929,25.21,667.9537,
34,133.19977146987156,25.7,32189.367,
35,161.18607578785048,26.1,920.8609,
36,119.19791010330427,26.27,136.48996,
37,161.18839945513366,26.72,146.8249,
38,43.0,26.895,227.70526,
39,93.09985955508465,27.205,4813.2705,
40,79.09153410828999,27.375,228.83072,
41,91.09311676387989,27.75,92.580444,
42,204.2005273193321,28.0,715.8856,
43,161.16026518632196,28.36,101667.86,
44,79.09962388451659,28.655,7285.525,
45,121.20004934993516,28.915,12183.397,
46,131.16570980970374,29.13,108.51569,
47,161.1747241169958,29.64,276.83643,
48,161.1724927689855,29.86,1216.9807,
50,138.14999999999998,31.16,88.18053,
49,79.0861123364211,31.18,680.1,
51,79.09182670835195,31.405,235.09557,
52,69.10006846676673,31.65,3907.0078,
53,205.19905385453652,32.25,1422.3446,
54,79.09292681452703,32.465,9422.959,
55,159.14856709785536,32.605,261.7876,
56,123.19999999999997,32.89,589.44916,
57,121.18186780835744,33.475,297.2228,
58,67.05,33.575,740.39044,
59,82.09386722808553,33.8,91.43651,
60,131.1518496946036,33.825,158.80968,
61,109.15539745372847,34.08,46.733906,
62,119.17061095505619,34.48,341.7598,
63,136.15138050854387,34.65,611.5483,
64,161.1506098152369,34.86,412.41962,
65,95.1142445637518,34.935,203.95592,
66,123.17111635972256,35.035,250.86049,
67,187.10744300615812,35.12,991.8988,
68,121.18865178217152,35.37,516.6435,
69,137.15000000000003,35.38,43.83436,
70,159.1297320230484,35.515,253.37944,
71,131.16035042933396,35.945,86.1788,
72,69.0687946074544,36.475,25.217691,
73,159.14218304117406,36.58,168.18388,
74,159.1388386991829,36.725,396.06375,
75,82.09955422555413,37.74,1289.8866,
76,118.17147153436318,38.245,596.85754,
77,106.11383221476511,38.245,37.249893,
78,105.12491704686852,41.12,72.32767,
79,79.07204187020237,41.775,179.12433,
80,58.04415221560096,42.345,242.48508,
82,68.07290800775837,43.91,36.094986,
81,67.06519330603976,43.915,236.9302,
83,69.0873559322034,43.915,22.125345,
84,79.08726927151491,44.095,395.67477,
85,137.19134989492957,45.91,240.31403,
86,81.1,46.05,267.96616,
87,109.18074997479923,46.665,148.80403,
88,257.2509243498468,48.21,337.80536,
89,123.20067125785425,54.91,4549.2954,
