row ID,row m/z,row retention time,GT_PadraoHidroc_13-06-2024.CDF Peak area,
1,43.05,2.9,57.114944,
2,43.04997007005931,3.21,10324.1,
3,43.04989984272868,4.95,9931.87,
4,57.08751763776536,7.77,12317.328,
5,57.09672195200049,11.545,14428.47,
6,57.1,15.91,16438.28,
7,57.09915037637957,20.45,17782.54,
8,71.13418666438733,24.915,19654.725,
9,71.11994754851442,29.215,21224.383,
10,71.11145368671099,33.32,22509.729,
11,71.10774510051806,37.225,23532.795,
12,71.10001703199588,40.94,25082.516,
13,71.1,44.485,25993.902,
14,71.10016191418548,47.86,27010.93,
15,79.0876618705036,47.86,20.852491,
16,71.1027246408231,51.09,27673.52,
17,71.10399134746194,54.18,28270.176,
18,71.12453065879686,57.145,29267.195,
19,71.12835495732799,59.995,30001.945,
20,71.1102146387418,62.73,30500.506,
21,71.10016253514817,65.37,31234.775,
22,71.10014971589544,67.915,31555.125,
23,71.09999999999998,70.38,31957.115,
24,71.10010449610775,72.765,31611.68,
25,71.10000000000001,75.085,31053.098,
